,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,30-Jan
CAN 0.25 AUG 23,97.8,97.801,97.833,97.841,97.828,97.845,97.866,97.903,97.909,97.903,97.918
CAN 2.25 MAR 24,97.93,97.87,97.95,97.92,97.87,97.86,97.87,97.92,97.92,97.84,97.78
CAN 1.5 SEP 24,96.48,96.45,96.58,96.5,96.4,96.4,96.39,96.47,96.48,96.29,96.24
CAN 1.25 MAR 25,95.38,95.42,95.61,95.59,95.44,95.38,95.34,95.47,95.5,95.3,95.19
CAN 0.5 SEP 25,92.74,92.75,93.03,93.03,92.87,92.82,92.81,92.97,93,92.72,92.61
CAN 0.25 MAR 26,91.08,91.19,91.43,91.51,91.32,91.23,91.21,91.41,91.45,91.17,91.05
CAN 1.0 SEP 26,92.72,92.84,93.24,93.29,92.95,92.9,92.91,93.05,93.04,92.77,92.63
CAN 1.25 MAR 27,93.14,93.25,93.73,93.78,93.39,93.33,93.35,93.5,93.46,93.14,93.01
CAN 2.75 SEP 27,99.1,99.22,99.71,99.71,99.24,99.14,99.15,99.29,99.24,98.86,98.73
CAN 3.5 MAR 28,102.73,102.84,103.4,103.38,102.83,102.73,102.77,102.92,102.82,102.4,102.22
